text,intent
['What eco - favorable ware do you urge for oily skin?'],Product Inquiry-Recommendations
"['Do you have this lip rouge in stock, or is information technology verboten of stemma once again?']",Product Inquiry-Availability
['Can we coif a meeting to discuss a potential partnership on eco - favorable items?'],Professional Inquiry
['Discover the ultimate skincare routine with our newfangled collecting. Follow the data link and get twenty% off your first parliamentary procedure. # Skincare # BeautySavings'],Others
"['I need a cruelness - free serum that sour, any suggestion?']",Product Inquiry-Recommendations
['Sorry not sorry'],Feedback-Complaints
"[""Serve you know if the Porcelain nicety of your foundation garment stick is being discontinue? I can ' t find information technology anymore.""]",Product Inquiry-Availability
['Suffice you deliver a store locator on your website?'],Others
"['This is the 2nd meter my packet has been lost, what the hell?']",Customer Support-Shipping Issues
['Serve you offer professional training sessions for utilise your products?'],Professional Inquiry
['Single got an order deliverance exception presentment but no early details. Is my order lost or delay?'],Customer Support-Order Status
['What be the physical process for deliver products that go far damaged operating theatre used? I make images to show.'],Customer Support-Returns and Refunds
"[""As a beauty editor, Unity ' d love life product from your novel accumulation for editorial coverage.""]",Professional Inquiry
"['Backwards in inventory: Our fan - favored moisturizer. Haste, quantities are limited. # BackInStock # SkincareEssentials']",Others
"[""Bugger off a flawless skin color with our best - merchandising foundation. Limited clock time but, grease one's palms now and get a free brushwood! # MakeupDeals # BeautyEssentials""]",Others
['Iodine feature an almond allergy - practice any of your products contain nut oil operating room derivatives?'],Product Inquiry-Ingredients
['real expensive'],Feedback-Complaints
"[""Limited edition alerting: Our modern eyeshadow palette be here. Store like a shot before it ' s gone. # LimitedEdition # EyeshadowPalette""]",Others
['Could you have me fuck the monetary value of your Charcoal Detox brass mask? Not seeing it listed anywhere.'],Product Inquiry-Price
['When will you be restocking the Radiant Glow highlighter palette? I need to get my hand on information technology!'],Product Inquiry-Availability
['Screw you and your idea.'],Others
['Sum up a pump to the blood serum bottle would make up convenient.'],Feedback-Suggestions
"[""My order confirmation display rescue but I haven ' t received my software program so far. What serve I do?""]",Customer Support-Order Status
"[""As a beauty editor, Ane ' five hundred love cartesian product from your new collection for editorial coverage.""]",Professional Inquiry
['What practise I perform if Iodine received the wrong detail?'],Customer Support-Returns and Refunds
"[""Iodin ' ve exist habituate the serum and I love information technology!""]",Feedback-Compliments
['How much prison term should I go away it to act on the pelt?'],Product Inquiry-Usage Instructions
['Experience the magic of our new hydrating mask. Order straightaway and draw a destitute travel - size cleaner with your leverage. # SkincareMagic # FreeGift'],Others
['What constitute the educational activity for apply this cruelty - free blood serum?'],Product Inquiry-Usage Instructions
['cannot be allowed'],Feedback-Complaints
['Be this harshness - free intersection available?'],Product Inquiry-Availability
"[""Information technology ' s make up decade days and my order be still work on with no movement. When will information technology ship?""]",Customer Support-Order Status
"[""Perform this intersection make any allergens? One can ' t endangerment it.""]",Product Inquiry-Ingredients
['Why comprise my order nonetheless sue? This be ridiculous!'],Customer Support-Order Status
['What be your best liquid eyeliner penitentiary for a precise winged liner look? Ane need something super black market and smudge - proof.'],Product Inquiry-Recommendations
['Does it take away make up too?'],Product Inquiry-Usage Instructions
['A makeup setting spray would be an awing addition to your be face line.'],Feedback-Suggestions
['How do Atomic number 53 pass over my order condition?'],Customer Support-Order Status
"[""Can you tell me if the cream for normal and dry skin is become pricy? I ordered it from a site, and while the tube be larger, the price hasn ' t changed. 1 ' m concerned it power cost a counterfeit.""]",Product Inquiry-Availability
['When constitute the release date?'],Product Inquiry-Availability
"['This vegan cream is non working for me, can 1 get a repayment?']",Customer Support-Returns and Refunds
['The shipping carrier has had my package for ii weeks without any update. What be going on here?'],Customer Support-Shipping Issues
['waiting to set about my order'],Customer Support-Shipping Issues
['It would make up great if you offer sample sizes for new products.'],Feedback-Suggestions
['perfect tense'],Feedback-Compliments
['Your income tax return process follow bedevil as fuck.'],Customer Support-Returns and Refunds
['stupefied'],Others
"[""I placed an monastic order a calendar week ago but haven ' t get any shipping notification still. Can you retard the status?""]",Customer Support-Order Status
"[""What ' s the monetary value of this production?""]",Product Inquiry-Price
"[""Man seem to have gone wild present. With their bare ankles, tight pants, groomed supercilium, manicured nails, and dedicate skincare, they ' re sweep up habits typically allow for women.""]",Feedback-Complaints
"[""Your make ' s dedication to sustainable fixings sourcing be amazing.""]",Feedback-Compliments
['Mist after beaver state before the emollient?'],Product Inquiry-Usage Instructions
"[""It ' s equal ended a month and One still haven ' t received my repayment after do a getting even!""]",Customer Support-Returns and Refunds
"[""I received soul else ' s order instead of my own items! This demand to be resolve.""]",Customer Support-Shipping Issues
['Information technology would comprise great if you offered sample sizes for new products.'],Feedback-Suggestions
['Great client service experience!'],Feedback-Compliments
['What do I do if I receive the wrong particular?'],Customer Support-Returns and Refunds
"[""Arse you make this production in a big size? It ' s as well modest.""]",Feedback-Suggestions
"['This vegan ointment is not work out for pine tree state, can I get a repayment?']",Customer Support-Returns and Refunds
"[""why don ' triiodothyronine you contribute to the Romanian food market and oily hair shampoo?""]",Product Inquiry-Availability
['I urge that you encapsulate the serum with pure vitamin One c as information technology oxidizes very quickly.'],Product Inquiry-Recommendations
"[""It ' s be 10 days and my ordering be still process with no move. When will information technology ship?""]",Customer Support-Order Status
"[""Don ' t pretermit out on our biggest sale of the year! All beauty production up to lx% off. Store now and write big. # BeautySale # CosmeticsDeals""]",Others
"['You need to intercept into the K - sweetheart cushion compact, tint - up cream tendency.']",Feedback-Suggestions
['When make your heavy annual sale event happen this class? I take to start budgeting!'],Others
['I take a proffer for ameliorate your website.'],Feedback-Suggestions
['Tush we arrange a meeting to discuss a coaction?'],Professional Inquiry
['Can you advocate a good matt bronzer shade for light - medium warm olive skin tones from your melody?'],Product Inquiry-Recommendations
['How much?'],Product Inquiry-Price
['Around how many pumps of serum would you advocate for the wide cut fount and cervix?'],Product Inquiry-Usage Instructions
['Your recurrence process is confuse as fuck.'],Customer Support-Returns and Refunds
['Is information technology in MegaImage?'],Product Inquiry-Availability
['How should Ane implement this befoulment - fighting face mask?'],Product Inquiry-Usage Instructions
"[""I ' m apply the cream with yellows and One dead adore information technology! ❤ ️""]",Feedback-Compliments
"[""I can ' t get adequate of the raw lot of lip rouge — I absolutely love them! ❤ ️""]",Feedback-Compliments
"[""I haven ' t tried Brand_D ' s hydrating essence, firming neck opening cream, balancing facial mist, operating theater protective sunblock yet, simply the ingredients have actually sparked my interest group!""]",Feedback-Compliments
['What dress you recommend for dry skin?'],Product Inquiry-Recommendations
['How practise I track my parliamentary law condition?'],Customer Support-Order Status
['Is information technology sold verboten?'],Product Inquiry-Availability
"['This ware cost defective, how do One gravel my money back?']",Customer Support-Returns and Refunds
"[""What ' s the good product for acne that doesn ' t contain microplastics?""]",Product Inquiry-Recommendations
['Rump you recommend a fucking respectable moisturizer for dry pelt?'],Product Inquiry-Recommendations
['What is the price range of a function for the hairsbreadth upkeep products?'],Product Inquiry-Price
"['Maintain upwardly the awesome body of work, your brand is incredible!']",Feedback-Compliments
['Wherefore is this and so all fired expensive?'],Product Inquiry-Price
['The speech address is faulty.'],Customer Support-Shipping Issues
['Bathroom you excuse the price of this dogshit?'],Product Inquiry-Price
['Can you provide usage instructions for the haircloth straighteners?'],Product Inquiry-Usage Instructions
['If it has an alcohol distort and perfume One will non buy'],Product Inquiry-Ingredients
['Study append SPF to your moisturizers.'],Feedback-Suggestions
['Ar in that location any out of sight costs with this?'],Product Inquiry-Price
"[""When it ' s going to live back on gunstock?""]",Product Inquiry-Availability
"['Hello, how much does the limited variation Smokey Eye pallette retail for before taxes?']",Product Inquiry-Price
"[""Behind you watch the status of my gild? It ' s been week!""]",Customer Support-Order Status
"[""How should Unity introduce this ware in my routine if Atomic number 53 ' m using retinol?""]",Product Inquiry-Usage Instructions
['Can you provide the full component lean for the brightening mask?'],Product Inquiry-Ingredients
['Fundament you explicate wherefore your products are good for the environment?'],Others
['Can you place me on your PR leaning?'],Professional Inquiry
"[""My social club confirmation shows deport but I haven ' t received my package thus far. What do I act?""]",Customer Support-Order Status
"['This intersection split up after one use, what the piece of tail?']",Feedback-Complaints
"['I require to return a product, can you aid?']",Customer Support-Returns and Refunds
"[""I ' metre searching for an under - middle corrector to clear and color right dark circles. Any recommendations?""]",Product Inquiry-Recommendations
['My parliamentary law be ship to the wrong address.'],Customer Support-Shipping Issues
['Derriere Atomic number 53 buy the new matte foundation online?'],Product Inquiry-Availability
['She call him a cunt.'],Others
['How much is the shipping cost for this product?'],Product Inquiry-Price
"[""Your website international relations and security network ' triiodothyronine allowing me to serve a return for an unopened, unwanted product.""]",Customer Support-Returns and Refunds
"[""1 need a volumizing mascara that doesn ' t clump or flake. Any recommendations from your line?""]",Product Inquiry-Recommendations
['Are the prix fixe brush sets discounted from the private thicket cost if purchased singly?'],Product Inquiry-Price
['collaborationism with your brand'],Professional Inquiry
"[""For me, it works perfectly. It works wonders for me. I ' ve been using information technology alongside a cleansing gel for several years, and it ' s greatly reduced my wrinkles. This product has equal perfect for me. Paired with a cleansing gel, it ' s reduced a lot of my wrinkles over the past few years. For pine tree state, it has be dumbfound. I ' ve been using it with a cleansing gel for years, and information technology hold significantly faded my wrinkles. And I ' m over 50! Keep experimenting with product until you discover the right one. It ' s been perfect for pine tree state. Just wanted to rave about your new Velvet Blur lippie formula - it ' s the most comfortable matte I ' ve ever tried!""]",Feedback-Compliments
['Perform you offer any discount on eco - friendly products?'],Product Inquiry-Price
['vitamin a'],Product Inquiry-Ingredients
['It be all for nil'],Feedback-Complaints
"['What should I use for extremely juiceless, flaky tegument?']",Product Inquiry-Recommendations
['The shipping carrier give had my package for all over 2 weeks now with nothing updates!'],Customer Support-Shipping Issues
"['Your fans would love to learn you launch more multi - consumption, various pick products that be on - course.']",Feedback-Suggestions
['How much does the anti - get on serum cost?'],Product Inquiry-Price
['The cartesian product did non meet my expected value.'],Feedback-Complaints
['Is this product suited for sensitive peel likewise?'],Product Inquiry-Ingredients
['How much fare it be?'],Product Inquiry-Price
['Can I employ this aloe colloidal gel after Ane had a mechanically skillful peeling?'],Product Inquiry-Usage Instructions
"['Exclusive offer for our follower! Buy i, get unmatchable free on selected token. Shop now and economize! # BOGO # CosmeticsDeals']",Others
['What are the ingredients of the modern lip rouge?'],Product Inquiry-Ingredients
['Launching more multi - task hybrid makeup reefer / cream would be so on - trend!'],Feedback-Suggestions
"['This be the 2d time my package have been fall behind, what the hell?']",Customer Support-Shipping Issues
['Can you process a return for my recent purchase?'],Customer Support-Returns and Refunds
['Can the blood serum represent used day by day?'],Product Inquiry-Usage Instructions
['It would be nice to have a trueness program.'],Feedback-Suggestions
['ceylon cinnamon'],Product Inquiry-Ingredients
['Can you give this product useable in eco - favorable packaging?'],Feedback-Suggestions
['I am thwarted with the customer divine service.'],Feedback-Complaints
['How manage Unity quest a refund for my order?'],Customer Support-Returns and Refunds
"['1 want to return a cartesian product, tooshie you aid?']",Customer Support-Returns and Refunds
"['What should Atomic number 53 use for super dry, flaky hide?']",Product Inquiry-Recommendations
['How the hell be this and so pricey?'],Product Inquiry-Price
"[""Why execute you cease my holy grail supercilium pomade shade? I ' thousand devastated!""]",Feedback-Complaints
['Is there a room to traverse my decree?'],Customer Support-Order Status
['Can I get a repayment for this icky merchant vessels help?'],Customer Support-Shipping Issues
['What the hell be buy the farm on?'],Others
"['This product live shit, I need a repayment!']",Customer Support-Returns and Refunds
['Why is the cargo ships taking indeed fucking long?'],Customer Support-Shipping Issues
"[""I ' m curious if the cream for normal and teetotal skin is increasingly costly. One got information technology from a website, and although the tube be freehanded, the price remains the same. Could it be that information technology ' s not genuine?""]",Product Inquiry-Availability
['Free transportation on all orders concluded $ lxxv. Shop now and spare on your best loved beauty product. # FreeShipping # BeautySavings'],Others
['What is your return insurance?'],Customer Support-Returns and Refunds
['This is double dyed shit.'],Others
['Terminate we arrange a merging to discuss a collaboration?'],Professional Inquiry
"[""That ' s bloody marvelous!""]",Others
['How much does the anti - age blood serum cost?'],Product Inquiry-Price
"[""One tail end ' t get enough of the foaming cleanser — Ane absolutely love information technology!""]",Feedback-Compliments
['All the component be vegan?'],Product Inquiry-Ingredients
['Be information technology perfume free?'],Product Inquiry-Ingredients
"[""This be the skillful thing Iodine ' ve ever bought, hand down.""]",Feedback-Compliments
['How much does the anti - senesce serum cost?'],Product Inquiry-Price
"['The vitamin c emollient is function of my turn, and I adore it!']",Feedback-Compliments
['Can somebody serve me with a counter? This embody bullshit.'],Customer Support-Returns and Refunds
['Can One pre - order the new moisturizer?'],Product Inquiry-Availability
"['I searched extensively for a shampoo with a honey formula, yet Ace could entirely recover information technology on two sites, and both have it price at doubly the usual pace.']",Product Inquiry-Availability
['Please regard use plastic - free promotion.'],Feedback-Suggestions
"[""What ' s the good product for boil down wrinkles?""]",Product Inquiry-Recommendations
"[""What ' s the leontyne price on this? Can ' t find it anyplace!""]",Product Inquiry-Price
['adore information technology'],Feedback-Compliments
['How many pumps of the Vitamin C serum suffice you commend use for the full nerve?'],Product Inquiry-Usage Instructions
['Are the limited version vacation brush set still in stores operating theatre be they an online sole?'],Product Inquiry-Availability
"[""What ' s the leontyne price of the modern moisturizer?""]",Product Inquiry-Price
['How practice I apply the vitamin C serum?'],Product Inquiry-Usage Instructions
['Can it be used in combining with vitamin Hundred?'],Product Inquiry-Usage Instructions
['A makeup setting atomiser would embody an awesome accession to your existing look line.'],Feedback-Suggestions
"['My parliamentary law was ship to the wrong address, what should I behave?']",Customer Support-Shipping Issues
['You should look at add more value and perks to your loyalty rewards program.'],Feedback-Suggestions
"[""Ane ' m a free lance makeup creative person and would love any opportunity to solve with your brand!""]",Professional Inquiry
['Do you own a allegiance program?'],Others
"[""I ' g face for a long - wearing foundation for combination skin. What would you commend?""]",Product Inquiry-Recommendations
['Are there any rebate uncommitted for the skincare products?'],Product Inquiry-Price
"[""How tin can I be give notice if it ' s back on stock?""]",Product Inquiry-Availability
['Serve you offer any bulk purchase discounts for salons that expend vegan product?'],Professional Inquiry
"[""Ar you sure that information technology ' s suitable for the body and the face too? International relations and security network ' t it going to make up too harsh for the cutis?""]",Product Inquiry-Usage Instructions
"[""My parliamentary procedure status shows delivered but Single haven ' t really invite my package. What gives?""]",Customer Support-Order Status
['Exclusive online offer: Get a free mouth salve with any leverage over $ l. Shop now and pamper your back talk. # FreeGift # LipCare'],Others
['My order load arrived damage with products spilling out of the boxes. Who dress 1 contact?'],Customer Support-Shipping Issues
['I paint a picture unfold the yield policy.'],Feedback-Suggestions
"['This vegan cream be not make for pine tree state, can I incur a refund?']",Customer Support-Returns and Refunds
['How many pumps of the Vitamin C blood serum do you advocate expend for the full fount?'],Product Inquiry-Usage Instructions
['It cost all for zilch'],Feedback-Complaints
['What do I do if I receive the wrong particular?'],Customer Support-Returns and Refunds
"[""Can you make this intersection in a larger size of it? It ' s likewise low.""]",Feedback-Suggestions
['When will you restock the vegan lip rouge?'],Product Inquiry-Availability
['Do you have any tutorials on achieving the pure cat - heart ocean liner depend with your gelatin pencil?'],Product Inquiry-Usage Instructions
"[""Just wanted to rave about your metallic liquidness lip rouge formula - it ' s unbelievable!""]",Feedback-Compliments
"[""How do I return a merchandise Ace don ' liothyronine comparable?""]",Customer Support-Returns and Refunds
"[""Ace received somebody else ' s order alternatively of my ain items! This require to be resolve.""]",Customer Support-Shipping Issues
"[""How should Unity introduce this ware in my routine if Atomic number 53 ' m using retinol?""]",Product Inquiry-Usage Instructions
['Has my parliamentary law shipped all the same?'],Customer Support-Order Status
"[""Brand_D ' southward crest ware for me are the rejuvenating retinol cream, the clarify facial rock oil, the hydrating sheet mask, and the easy makeup remover.""]",Feedback-Compliments
['I admire you for your courage'],Feedback-Compliments
"['This equal the second clock time my package make cost lost, what the hell?']",Customer Support-Shipping Issues
['I paid spear carrier for express mail shipping but my order took but every bit long as regular ground shipping!'],Customer Support-Shipping Issues
"['This product live shit, I need a repayment!']",Customer Support-Returns and Refunds
['Why be the shipping take in so fucking long?'],Customer Support-Shipping Issues
['I know the quality of your products!'],Feedback-Compliments
['Where the piece of tail be my order?'],Customer Support-Order Status
['Is this intersection worthy for sensitive skin likewise?'],Product Inquiry-Ingredients
['Can you explain wherefore your intersection are well for the environment?'],Others
"[""How can I be notified if it ' s backward on stock?""]",Product Inquiry-Availability
['Can someone aid me select the right tone for my skin?'],Others
"[""The sleek esthetic and minimal font for your promotional material follow simply chef ' s kiss.""]",Feedback-Compliments
['Do you induce a storage locater on your website?'],Others
['Should I habituate the Mattifying Face Priming before or after my foundation?'],Product Inquiry-Usage Instructions
['Why equal my decree taking so long?'],Customer Support-Order Status
['Your getting even cognitive process is confusing as fuck.'],Customer Support-Returns and Refunds
['When exist the sales coming?'],Product Inquiry-Price
"[""Any tips for blend in ko'd the cream conformation shades from your Pro Pallette?""]",Product Inquiry-Usage Instructions
"[""Your website isn ' t let maine process a tax return for an unwanted production. Ane haven ' t even opened it.""]",Customer Support-Returns and Refunds
"[""Ar you sure that information technology ' s suitable for the eubstance and the face to a fault? Isn ' t information technology go to be also harsh for the hide?""]",Product Inquiry-Usage Instructions
['Be there a manner to track my order?'],Customer Support-Order Status
['Do you deliver the anti - aging cream uncommitted?'],Product Inquiry-Availability
['Does information technology take parabens?'],Product Inquiry-Ingredients
"[""One ' mb interested in a wholesale partnership.""]",Professional Inquiry
['Could you let me know the monetary value of your Charcoal Detox face mask? Non seeing information technology lean anyplace.'],Product Inquiry-Price
['Tin you recommend a right vegan moisturizer?'],Product Inquiry-Recommendations
"[""1 ' d similar to collaborate with your ruthlessness - free brand, who should Iodine contact?""]",Professional Inquiry
['Is in that location a professional discount for bombastic orders?'],Professional Inquiry
['It has broken my hide'],Feedback-Complaints
['Is the brightening masquerade available at your computer memory?'],Product Inquiry-Availability
['Your client service of process is fucking useless!'],Feedback-Complaints
['Tush you place maine on your PR list?'],Professional Inquiry
['Count take a travel - size reading of the cleanser.'],Feedback-Suggestions
['Can Ace get a repayment for this shitty shipping service of process?'],Customer Support-Shipping Issues
['Is this mercilessness - loose product useable?'],Product Inquiry-Availability
"[""One ' mb interested in a wholesale partnership.""]",Professional Inquiry
['How practise I track my parliamentary law condition?'],Customer Support-Order Status
['I have a suggestion for improving your internet site.'],Feedback-Suggestions
['Be the new lipstick collection uncommitted?'],Product Inquiry-Availability
['Does information technology contain aroma?'],Product Inquiry-Ingredients
['Tin you provide an update on my order status?'],Customer Support-Order Status
['1 want to buy this'],Customer Support-Order Status
"[""It ' s be 10 days and my ordering be still process with no move. When will information technology ship?""]",Customer Support-Order Status
['Tooshie you suggest a honest hydrating serum to use under makeup? My skin get been so wry latterly.'],Product Inquiry-Recommendations
['toppingly'],Feedback-Compliments
['Can I acquaint information technology in my everyday routine?'],Product Inquiry-Usage Instructions
"['WIN a year ’ s supply of our premium ravisher products! Like this post, tag leash protagonist, and share to accede! # Game show # BeautyWin # Freebee']",Others
['caffeine'],Product Inquiry-Ingredients
"[""Unity need a volumizing mascara that doesn ' t glob or peel off. Any testimonial from your line?""]",Product Inquiry-Recommendations
['What is your restoration policy?'],Customer Support-Returns and Refunds
"[""One searched the micellar water with milk river texture. Wherefore didn ' tonne thither anywhere? I searched everywhere!""]",Product Inquiry-Availability
['Ace have a suggestion for improving your site.'],Feedback-Suggestions
['What is your return insurance?'],Customer Support-Returns and Refunds
"[""I ' m wondering if the cream for normal and ironic pelt be to a greater extent expensive now. One grease one's palms it online, and the tube is higher but still at the same price. 1 ' m worried it mightiness not be the original product.""]",Product Inquiry-Availability
['Why be the transport taking hence fucking long?'],Customer Support-Shipping Issues
"[""I ' thousand so disappointed with the new foundation One bought from your firebrand. Information technology oxidize abysmally and makes my skin looking orange after a few hours.""]",Feedback-Complaints
"['One searched extensively for a shampoo with a beloved pattern, yet I could only when find information technology on 2 sites, and both had information technology priced at twice the common charge per unit.']",Product Inquiry-Availability
['3 second be enough for it to action?'],Product Inquiry-Usage Instructions
"[""I can ' t get enough of the young hardening of lipsticks — Single absolutely enjoy them! ❤ ️""]",Feedback-Compliments
['ador'],Feedback-Compliments
['Do you declare oneself professional grooming session for using your products?'],Professional Inquiry
"['This product was the alone i that worked for both dryness and make up, leaving a light feel on my facial expression. I have in particular thought provoking cutis.']",Feedback-Complaints
['Take making a locomotion - size of it adaptation of the cleanser.'],Feedback-Suggestions
"[""Should I practice information technology if Ane ' m going to do a chemical peeling the succeeding clarence day?""]",Product Inquiry-Usage Instructions
"[""Can you make this merchandise in a larger size? It ' s as well modest.""]",Feedback-Suggestions
['What the the pits constitute going on?'],Others
['Do you offer damage matching for this cartesian product?'],Product Inquiry-Price
['Tail end I have a refund for this shitty transportation service?'],Customer Support-Shipping Issues
['Is information technology a nox routine product or a mean solar day 1?'],Product Inquiry-Usage Instructions
['1 want to buy this'],Customer Support-Order Status
"[""Ace can ' t appear to find the Featherlight Skin Shade anywhere! Have it exist discontinued?""]",Product Inquiry-Availability
['My shipment arrived with mathematical product leaking out of the damage boxes. World health organization do I get hold of?'],Customer Support-Shipping Issues
['Can I habituate it on the eye arena too?'],Product Inquiry-Usage Instructions
['My order live transport to the incorrect address still though I double checked it. Force out information technology be rerouted?'],Customer Support-Shipping Issues
['Does it stop alcoholic drink?'],Product Inquiry-Ingredients
['Say howdy to clear skin with our acne - scrap products. Order today and get a free audience with our skin care expert. # ClearSkin # FreeConsultation'],Others
['Launch more than multi - tasking hybrid makeup stick / emollient would be and so on - trend!'],Feedback-Suggestions
['Manage you offer professional discount?'],Professional Inquiry
['When testament the oxford grey face washing cost back in stock?'],Product Inquiry-Availability
['I had an sensitised reaction to the micellar water.'],Feedback-Complaints
['Should I utilise the Mattifying Face Primer before surgery after my basis?'],Product Inquiry-Usage Instructions
['vitamin deoxycytidine monophosphate bightens face'],Product Inquiry-Ingredients
['Which cleansing agent would you suggest for sensitive skin?'],Product Inquiry-Recommendations
"['From Brand_F, I bonk the antioxidant - deep sidereal day pick, the soothing eye gel, the cryptical - cleansing the great compromiser masquerade, and the nutritious lip balm.']",Feedback-Compliments
['Please conceive using eco - friendly promotional material.'],Feedback-Suggestions
['Hi! Be this product notwithstanding useable?'],Product Inquiry-Availability
"[""My order confirmation display rescue but I haven ' t received my software program so far. What serve I do?""]",Customer Support-Order Status
"[""I ' d comparable to ask if the cream for normal and dry skin constitute becoming more expensive. I bought it from a situation, and the metro is with child but at the like price. I ' m worried it power non be original.""]",Product Inquiry-Availability
"[""Wherefore did you cease my holy sangraal brow pomade tint? I ' m devastated!""]",Feedback-Complaints
['My beauty parlour is considering carry your total cosmetics line. Could you provide info?'],Professional Inquiry
"['You need to tap into the K - lulu cushion compact, tint - up cream tendency.']",Feedback-Suggestions
['Do you offer any bulk purchase price reduction for salons?'],Professional Inquiry
"[""I ' m looking to sport your brand in my storage, how can we proceed?""]",Professional Inquiry
['Can you intimate a good moisturizer for oily skin?'],Product Inquiry-Recommendations
['Your new hydrating primer pills upwards and goes patchy nether creation.'],Feedback-Complaints
['How many times per week is it indicate to use?'],Product Inquiry-Usage Instructions
"[""Information technology ' s time to elaborate your brow range with pomades, gel and other tools.""]",Feedback-Suggestions
['How much does it cost?'],Product Inquiry-Price
"['Keep improving the awing work, your brand be unbelievable!']",Feedback-Compliments
"[""What ' s the price percentage point for your new High - Def Liquid Highlight? Couldn ' t find it listed. Do you happen to know the cost of your top - selling mascara in the travel / mini size? The Body Butter seems expensive - is it sell individually or as role of a set? Could you allow me eff how much your rage - favorite Refulgence Primer retails for?""]",Product Inquiry-Price
['vitamin c'],Product Inquiry-Ingredients
['My edict equal shipped to the incorrect reference still though One double checked it. Can it be rerouted?'],Customer Support-Shipping Issues
['Information technology was good if'],Feedback-Suggestions
['Ar there any opportunities for marque ambassadors focused on sustainable sweetheart?'],Professional Inquiry
['Arse you process a return for my recent purchase?'],Customer Support-Returns and Refunds
['Be the unexampled lipstick collection available?'],Product Inquiry-Availability
"['You need to tap into the immense K - beaut trend like cushion concordat, tone - upwards creams etc.']",Feedback-Suggestions
['A larger size of the moisturizer would personify appreciated.'],Feedback-Suggestions
['Can information technology be use in combination with retinol?'],Product Inquiry-Usage Instructions
['not fine'],Feedback-Complaints
"[""Brand_c is no longer as it be! It ' s chou""]",Feedback-Complaints
['Toilet I stick in information technology in my everyday routine?'],Product Inquiry-Usage Instructions
['below expectations'],Feedback-Complaints
['I be going for a paseo in the park.'],Others
['Please weigh use eco - friendly promotional material.'],Feedback-Suggestions
"[""I ' m a freelance physical composition artist and would love any opportunity to ferment with your steel!""]",Professional Inquiry
['How much does the anti - get on serum cost?'],Product Inquiry-Price
"[""Brand_D ' second crest merchandise for me are the rejuvenate vitamin a1 cream, the elucidate facial oil, the hydrating sheet masks, and the gentle makeup remover.""]",Feedback-Compliments
"['I want you to recommmend a day and night ointment for + fifty, thank you!']",Product Inquiry-Recommendations
"[""Atomic number 53 received someone else ' s society by mistake or else of my ain. This needs to be adjudicate urgently!""]",Customer Support-Order Status
['Department of energy follow work as a 2d measure in a double cleansing?'],Product Inquiry-Usage Instructions
['I be non well chosen with the character of the product.'],Feedback-Complaints
['Is this shampoo sulphate - detached or what?'],Product Inquiry-Ingredients
"[""Is the moisturizer rearwards in stock certificate in time? One ' m tired of waiting.""]",Product Inquiry-Availability
['3 minutes is adequate for information technology to natural action?'],Product Inquiry-Usage Instructions
"['Ar these ingredients safe for sensitive skin, or live information technology all bullshit?']",Product Inquiry-Ingredients
['How should One apply and blend your ointment contour palette? Looking for proficiency tips.'],Product Inquiry-Usage Instructions
['Should I utilize a'],Product Inquiry-Usage Instructions
['waiting for my order'],Customer Support-Shipping Issues
['Can you add more shade for your foundation?'],Feedback-Suggestions
['I revel cooking in my free metre.'],Others
['Experience the conjuration of our young hydrating masquerade. Order of magnitude straightaway and get a free travelling - size cleanser with your leverage. # SkincareMagic # FreeGift'],Others
"[""My order verification shows rescue but Unity haven ' t received my bundle yet. What do Iodin do?""]",Customer Support-Order Status
['Can you do a fragrance - free rendering of this vegan production?'],Feedback-Suggestions
['The customer divine service was splendid.'],Feedback-Compliments
['vitamin snow'],Product Inquiry-Ingredients
['Are the limited edition vacation brushwood readiness even in computer memory or personify they an online exclusive?'],Product Inquiry-Availability
['Leontyne price?'],Product Inquiry-Price
['Why do you deal such crappy production?'],Feedback-Complaints
['A prominent size of the moisturizer would be appreciated.'],Feedback-Suggestions
['Can I employ this aloe colloidal gel after Ane had a mechanically skillful peeling?'],Product Inquiry-Usage Instructions
"['My order be marked as redeem, but Atomic number 53 never develop it!']",Customer Support-Shipping Issues
"[""I ' m feast improving with your want of support.""]",Feedback-Complaints
['Wherefore is this thence bloody expensive?'],Product Inquiry-Price
['Stool you tell me the price of the integral skin care set?'],Product Inquiry-Price
['Are these the lowest cartesian product?'],Product Inquiry-Availability
['This is senseless'],Feedback-Complaints
"[""One ' m a knockout blogger concerned in potentially collaborating on tutorial / content.""]",Professional Inquiry
['Fare I call for to wash the hairsbreadth once operating theatre twice?'],Product Inquiry-Usage Instructions
['What are the element of the new lip rouge?'],Product Inquiry-Ingredients
['Hind end we set a meeting to discuss a collaboration?'],Professional Inquiry
"[""My social club confirmation shows deport but I haven ' t received my package thus far. What do I act?""]",Customer Support-Order Status
['How much?'],Product Inquiry-Price
['Are there any chance for firebrand ambassadors focus on sustainable beaut?'],Professional Inquiry
['Iodin fancy your new stigma ambassador and be thus excited for the future of the company!'],Others
['Great client servicing experience!'],Feedback-Compliments
['What make 1 do if I receive the untimely item?'],Customer Support-Returns and Refunds
['I need an update on my club status forthwith!'],Customer Support-Order Status
['Can Ane change my account statement details?'],Others
['Toll?'],Product Inquiry-Price
['It would be nice to have a trueness program.'],Feedback-Suggestions
['Does this mathematical product hold any parabens?'],Product Inquiry-Ingredients
['It would represent great if you volunteer more than vegan products.'],Feedback-Suggestions
"[""Is the moisturizer backward in gillyflower yet? I ' meter tired of waiting.""]",Product Inquiry-Availability
